time,open,high,low,close,volume
2024-11-04,53.44,54.98,53.18,54.9,1288748
2024-11-05,54.3,55.58,54.3,54.55,560724
2024-11-06,54.73,55.24,54.38,54.81,680225
2024-11-07,55.07,55.5,54.64,55.33,696362
2024-11-08,55.67,55.67,55.15,55.41,701768
2024-11-11,55.41,55.76,54.9,55.76,551658
2024-11-12,56.1,56.61,55.84,56.44,753078
2024-11-13,56.27,56.27,55.58,56.1,547539
2024-11-14,56.27,56.61,55.76,55.76,527937
2024-11-15,55.5,55.93,55.41,55.76,834415
2024-11-18,55.67,55.84,54.55,54.64,495632
2024-11-19,54.9,54.9,53.87,53.87,439051
2024-11-20,53.87,54.73,53.01,54.73,891973
2024-11-21,55.07,55.76,54.73,55.76,583013
2024-11-22,55.76,55.93,55.15,55.5,447065
2024-11-25,55.58,57.73,55.07,57.39,1600690
2024-11-26,57.39,57.56,56.96,57.21,494663
2024-11-27,57.21,57.9,56.87,57.47,969244
2024-11-28,57.56,57.64,57.13,57.47,643178
2024-11-29,57.64,57.64,57.3,57.64,499804
2024-12-02,57.73,58.16,57.13,57.3,520063
2024-12-03,57.56,58.76,57.04,58.16,1035645
2024-12-04,58.33,58.33,57.64,57.64,492089
2024-12-05,57.64,58.84,57.64,58.67,1133528
2024-12-06,58.67,58.76,58.16,58.16,544436
2024-12-09,58.59,58.59,57.9,58.16,565276
2024-12-10,58.33,58.76,57.81,57.81,444921
2024-12-11,57.81,57.99,57.04,57.13,700559
2024-12-12,57.13,57.56,56.61,56.61,444534
2024-12-13,56.7,57.39,56.53,57.04,299749
2024-12-16,57.04,57.3,56.61,56.78,234786
2024-12-17,56.78,57.39,56.61,57.04,275875
2024-12-18,57.04,58.16,56.96,58.16,807547
2024-12-19,57.47,58.5,57.3,57.73,732751
2024-12-20,57.73,58.5,57.64,58.07,583062
2024-12-23,58.67,58.67,58.16,58.33,443423
2024-12-24,58.33,58.33,57.81,57.9,445862
2024-12-25,57.9,59.79,57.9,58.93,1078560
2024-12-26,59.01,59.1,58.33,58.33,372493
2024-12-27,58.67,58.67,58.07,58.33,413683
2024-12-30,57.9,58.41,57.47,57.47,412076
2024-12-31,57.64,58.24,57.13,58.24,402044
2025-01-02,58.24,58.24,57.3,57.47,341740
2025-01-03,57.73,57.73,55.76,56.1,662457
2025-01-06,56.1,56.36,54.81,54.9,842876
2025-01-07,55.24,55.76,54.64,55.58,465093
2025-01-08,55.58,55.58,54.81,54.98,434273
2025-01-09,54.98,55.41,54.73,55.24,156123
2025-01-10,55.58,55.58,54.81,55.15,338632
2025-01-13,55.15,55.76,54.73,55.76,323039
2025-01-14,55.84,56.1,55.41,56.1,230548
2025-01-15,55.76,56.1,55.58,55.67,357840
2025-01-16,55.67,56.27,55.58,56.27,234809
2025-01-17,56.27,57.39,56.18,57.21,567028
2025-01-20,57.21,57.47,56.1,57.39,387124
